Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Assam State Transport Corporation (ASTC) - 154930,Volvo AC Seater 2+2,15:45,20:00,04h 15m,INR 298,"8 Seats available
2 Window","4.1
11",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 161055,Volvo AC Seater 2+2,16:15,20:30,04h 15m,INR 298,"11 Seats available
2 Window","3.7
19",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:30,17:00,03h 30m,INR 465.15,1 Seat available,"4.7
507",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,,14:30,18:30,04h 00m,INR 432.06,14 Seats available,4.6,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
,,,,,,,,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
,,,,,,,,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
,,,,,,,,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 146146,Bharat Benz A/C Seater (2+2),13:30,16:00,02h 30m,INR 191,"10 Seats available
4 Window","4.0
264",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Assam State Transport Corporation (ASTC) - 146079,Bharat Benz A/C Seater (2+2),15:00,18:00,03h 00m,INR 191,"7 Seats available
3 Window","3.6
259",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Orient Transline,A/C Seater (2+1),13:15,15:45,02h 30m,INR 333.33,"17 Seats available
6 Window","4.2
28",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Orient Transline,NON A/C Seater (2+1),13:15,15:30,02h 15m,INR 285.71,24 Seats available,"4.5
34",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,16:15,02h 00m,312,27 Seats available,"4.3
27",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Anindita Travels,NON A/C Seater (2+1),13:45,15:45,02h 00m,INR 400,"37 Seats available
12 Single","2.9
4",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
DESTINY TRAVELS,NON A/C Seater (2+1),18:45,21:50,27h 05m,428,22 Seats available,New,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
